system:index,city,greenSpaceArea_m2,.geo
0000000000000000109e,Abbeville,1.2350909836932312E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006e5,Aberdeen,270354.39726257324,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3f,Aberdeen,9.141082882508165E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bae,Aberdeen,2.04812494894732E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c08,Aberdeen,2.1010500861103898E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000147b,Aberdeen,1.9530278548070404E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169,Abilene,1.1544241721788172E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000035f,Abington,1.0325027808567691E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bac,Abington,7.598803989074826E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c2,Absecon,8.676365655726212E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f05,Accokeek,2.312448922648781E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000085d,Acton,2.7509141200445883E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000117e,Acushnet,2.26323971765913E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008f4,Acworth,2.1942849541187766E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bf4,Ada,2.242800380653105E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d44,Adams,4.071705073430119E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055d,Addison,1.0001334132241143E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ba1,Addison,4.692016828898258E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000050a,Adelanto,1288777.0986110612,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bb3,Adelphi,1.0020133829930864E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009a8,Adrian,686966.6627731323,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f6,Affton,1.1950989687499397E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d7,Agawam,3.7849003325964734E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009e7,Agoura Hills,7.459976312271643E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000138b,Ahuimanu,4.186958675342917E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012fc,Aiea,8.869598860238314E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060f,Aiken,2.3719735108602852E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001258,Airmont,4.7029570740722954E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000117a,Airway Heights,476755.86546307727,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,Akron,7.507606524575879E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ce,Alabaster,2.821598427607213E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001179,Alachua,2.72139251992941E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000204,Alafaya,1.919498478144052E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271,Alameda,3.168846106592203E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a02,Alamo,1.7869142103623845E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d97,Alamo,1.0419937877533281E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000064a,Alamogordo,1167150.9605422076,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ae,Alamosa,1973623.5128073301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,Albany,402667.67305004643,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023a,Albany,1.9432656025776994E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000378,Albany,4176889.118428548,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009ed,Albany,7.315984426526533E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c04,Albemarle,2.8947663263776225E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ac7,Albert Lea,461172.6130853989,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008ec,Albertville,3.024258788661546E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
