system:index,city,greenSpaceArea_m2,.geo
000000000000000001a1,Costa Mesa,2.552454472874712E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ca4,Coto de Caza,7.634330833406267E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004de,Cottage Grove,4507.255107685163,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001175,Cottage Grove,1.2733516529716495E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000891,Cottage Lake,49918.64309692383,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f73,Cottonwood,1.3933741749398448E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d7,Cottonwood Heights,9537497.804781444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000322,Council Bluffs,6.798707853282651E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c6,Country Club,4.1743123830001615E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012d2,Country Club,6.815915845624053E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ce,Country Club Estates,1.0963010715703475E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bef,Country Club Hills,9750748.379007977,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a94,Country Walk,1.0261706087803373E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012de,Countryside,1.660655817988316E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055f,Coventry,1.4214354045416492E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003cf,Covina,5.156125408554073E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004aa,Covington,2.230947439865287E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000992,Covington,2.0259344821049795E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dbb,Covington,2.5907437816998798E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001065,Covington,2.529356274357004E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000148e,Covington,1.3234201329306382E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000128a,Coweta,1.718507615621128E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e3,Craig,122647.8659362793,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005dd,Cranberry,5.7984836971712515E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000862,Cranford,5.1863867194375545E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000240,Cranston,7.863072311707422E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013a4,Crawford,5.904646526114327E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c1c,Crawfordsville,9.24268362222096E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013b1,Cresskill,6.436066741032372E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009fb,Crest Hill,8169082.193893341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000134e,Crestline,1.2497917029410762E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000071f,Crestview,2.7746956239893556E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f72,Crestwood,1.561189640168441E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000113b,Crestwood,5209714.30239186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a98,Creve Coeur,1.59218569540833E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006aa,Crofton,2.3307654728623986E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001254,Cross Lanes,9.977447680538991E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fa9,Crossville,3.3457894280833316E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ad2,Crowley,4.255702673571385E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000100c,Crowley,9.634820212715954E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c2,Crown Point,2440283.847445529,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012be,Croydon,9.955823916883084E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000141b,Crozet,2.3659599515583035E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b8,Crystal,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b8,Crystal Lake,4.8804703108509496E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008da,Cudahy,7569350.932912469,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b04,Cudahy,48018.77268218994,"{""type"":""MultiPoint"",""coordinates"":[]}"
