LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17,16.8,17.3,"17.00","16.8","17.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AL","Alabama","01","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,22.5,21.1,23.9,"22.5","21.1","23.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AK","Alaska","02","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,15.1,14.1,16.2,"15.1","14.1","16.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AZ","Arizona","04","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.8,15.8,17.9,"16.8","15.8","17.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AR","Arkansas","05","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,22.4,21.1,23.7,"22.4","21.1","23.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CA","California","06","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,14.5,13.6,15.5,"14.5","13.6","15.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CO","Colorado","08","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,14.8,13.9,15.7,"14.8","13.9","15.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CT","Connecticut","09","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16,15.1,17,"16.00","15.1","17.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DE","Delaware","10","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17.7,16.3,19.1,"17.7","16.3","19.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DC","District of Columbia","11","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,13.7,12.4,15.1,"13.7","12.4","15.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"FL","Florida","12","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.5,15.5,17.6,"16.5","15.5","17.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"GA","Georgia","13","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17.4,16.5,18.3,"17.4","16.5","18.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"GU","Guam","66","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,18,15,21.4,"18.00","15.00","21.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"HI","Hawaii","15","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,12.9,12,13.8,"12.9","12.00","13.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ID","Idaho","16","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.4,15.4,17.5,"16.4","15.4","17.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IL","Illinois","17","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,15.6,14.4,17,"15.6","14.4","17.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IN","Indiana","18","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,18.9,18.1,19.8,"18.9","18.1","19.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IA","Iowa","19","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16,15.1,16.9,"16.00","15.1","16.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"KS","Kansas","20","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17.3,16.5,18.2,"17.3","16.5","18.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"KY","Kentucky","21","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,22.4,20.9,24,"22.4","20.9","24.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"LA","Louisiana","22","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,20.8,19.6,22.1,"20.8","19.6","22.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ME","Maine","23","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,18.8,17.8,19.8,"18.8","17.8","19.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MD","Maryland","24","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,15.7,14.9,16.4,"15.7","14.9","16.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MA","Massachusetts","25","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16,15.1,16.9,"16.00","15.1","16.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MI","Michigan","26","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,19.2,18.3,20.2,"19.2","18.3","20.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MN","Minnesota","27","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,14.7,14,15.4,"14.7","14.00","15.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MS","Mississippi","28","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,21.8,20.2,23.5,"21.8","20.2","23.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MO","Missouri","29","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17.6,16.5,18.7,"17.6","16.5","18.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MT","Montana","30","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.4,15.4,17.5,"16.4","15.4","17.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NE","Nebraska","31","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,14.6,13.7,15.5,"14.6","13.7","15.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NV","Nevada","32","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.2,14.8,17.8,"16.2","14.8","17.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NH","New Hampshire","33","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17.1,15.9,18.3,"17.1","15.9","18.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NJ","New Jersey","34","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,13.4,12.5,14.3,"13.4","12.5","14.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NM","New Mexico","35","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.5,15.3,17.8,"16.5","15.3","17.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NY","New York","36","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,15.7,15,16.5,"15.7","15.00","16.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NC","North Carolina","37","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17.8,16.4,19.3,"17.8","16.4","19.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ND","North Dakota","38","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.9,15.7,18.2,"16.9","15.7","18.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"OH","Ohio","39","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,20.3,19.5,21.2,"20.3","19.5","21.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"OK","Oklahoma","40","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,19.9,18.8,21,"19.9","18.8","21.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"OR","Oregon","41","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17.4,16.3,18.5,"17.4","16.3","18.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"PA","Pennsylvania","42","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,18.5,17,20.2,"18.5","17.00","20.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"PR","Puerto Rico","72","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,18.2,17,19.5,"18.2","17.00","19.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"RI","Rhode Island","44","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.7,15.7,17.9,"16.7","15.7","17.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"SC","South Carolina","45","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,17.2,16.3,18,"17.2","16.3","18.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"SD","South Dakota","46","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,14.6,12.7,16.8,"14.6","12.7","16.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"TN","Tennessee","47","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,22.8,21.5,24.2,"22.8","21.5","24.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"TX","Texas","48","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.6,15.7,17.7,"16.6","15.7","17.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"UT","Utah","49","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,15.4,14.6,16.2,"15.4","14.6","16.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"VT","Vermont","50","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,16.5,15.5,17.6,"16.5","15.5","17.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"VI","Virgin Islands","78","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,12.3,8.5,17.4,"12.3","8.5","17.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"VA","Virginia","51","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,18.1,17.2,19.1,"18.1","17.2","19.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"WA","Washington","53","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,15.8,15.3,16.3,"15.8","15.3","16.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"WV","West Virginia","54","HEA","BRFSS","https://www.cdc.gov/brfss","2 or more chronic conditions among adults","HEA05","OVERALL","Overall","Overall","OVR",2022,2022,25.5,24.2,26.9,"25.5","24.2","26.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
