LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,21.1,20.8,21.3,"21.1","20.8","21.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AL","Alabama","01","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,24.6,22.7,26.6,"24.6","22.7","26.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AK","Alaska","02","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,20.4,19,21.9,"20.4","19.00","21.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AZ","Arizona","04","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,20.6,19.2,22,"20.6","19.2","22.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AR","Arkansas","05","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,27.6,25.8,29.4,"27.6","25.8","29.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CA","California","06","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,18.2,17.1,19.2,"18.2","17.1","19.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CO","Colorado","08","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,21.8,20.7,22.8,"21.8","20.7","22.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CT","Connecticut","09","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,20,18.7,21.3,"20.00","18.7","21.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DE","Delaware","10","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,20.9,19,23,"20.9","19.00","23.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DC","District of Columbia","11","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,19.3,17.6,21.2,"19.3","17.6","21.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"FL","Florida","12","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,18.3,16.9,19.8,"18.3","16.9","19.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"GA","Georgia","13","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,19.4,18.1,20.7,"19.4","18.1","20.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"GU","Guam","66","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,11.6,8.9,15,"11.6","8.9","15.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"HI","Hawaii","15","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,13,12,14.1,"13.00","12.00","14.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ID","Idaho","16","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,23.2,21.9,24.5,"23.2","21.9","24.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IL","Illinois","17","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,18,16.5,19.6,"18.00","16.5","19.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IN","Indiana","18","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,23.3,22.2,24.4,"23.3","22.2","24.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IA","Iowa","19","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,19.2,18.1,20.4,"19.2","18.1","20.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"KS","Kansas","20","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,20.1,19,21.2,"20.1","19.00","21.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"KY","Kentucky","21","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,26.4,24.4,28.4,"26.4","24.4","28.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"LA","Louisiana","22","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,27,25.4,28.6,"27.00","25.4","28.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ME","Maine","23","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,28.4,26.9,30,"28.4","26.9","30.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MD","Maryland","24","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,18.7,17.7,19.8,"18.7","17.7","19.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MA","Massachusetts","25","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,22.2,21.1,23.4,"22.2","21.1","23.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MI","Michigan","26","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,24.1,22.9,25.3,"24.1","22.9","25.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MN","Minnesota","27","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,24.5,23.6,25.5,"24.5","23.6","25.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MS","Mississippi","28","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,21.1,19.5,22.7,"21.1","19.5","22.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MO","Missouri","29","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,22.4,21.1,23.8,"22.4","21.1","23.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MT","Montana","30","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,25.8,24.4,27.3,"25.8","24.4","27.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NE","Nebraska","31","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,17.5,16.2,18.8,"17.5","16.2","18.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NV","Nevada","32","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,18.3,16.4,20.3,"18.3","16.4","20.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NH","New Hampshire","33","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,26.8,25,28.8,"26.8","25.00","28.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NJ","New Jersey","34","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,14.8,13.8,16,"14.8","13.8","16.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NM","New Mexico","35","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,21.3,19.5,23.3,"21.3","19.5","23.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NY","New York","36","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,18.1,17.3,18.9,"18.1","17.3","18.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NC","North Carolina","37","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,22.4,20.7,24.2,"22.4","20.7","24.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ND","North Dakota","38","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,22.2,20.5,23.9,"22.2","20.5","23.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"OH","Ohio","39","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,26,24.9,27.1,"26.00","24.9","27.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"OK","Oklahoma","40","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,27.4,26,28.9,"27.4","26.00","28.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"OR","Oregon","41","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,24.8,23.4,26.3,"24.8","23.4","26.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"PA","Pennsylvania","42","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,22.3,20.4,24.2,"22.3","20.4","24.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"PR","Puerto Rico","72","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,17.3,16,18.8,"17.3","16.00","18.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"RI","Rhode Island","44","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,22.9,21.2,24.7,"22.9","21.2","24.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"SC","South Carolina","45","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,20.6,19.4,21.9,"20.6","19.4","21.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"SD","South Dakota","46","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,18.6,15.9,21.8,"18.6","15.9","21.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"TN","Tennessee","47","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,30.2,28.4,32,"30.2","28.4","32.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"TX","Texas","48","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,19.4,18.3,20.6,"19.4","18.3","20.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"UT","Utah","49","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,26.1,25,27.2,"26.1","25.00","27.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"VT","Vermont","50","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,25.9,24.5,27.3,"25.9","24.5","27.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"VI","Virgin Islands","78","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,10.8,7.4,15.3,"10.8","7.4","15.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"VA","Virginia","51","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,22.3,21.1,23.6,"22.3","21.1","23.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"WA","Washington","53","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,25.6,24.9,26.4,"25.6","24.9","26.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"WV","West Virginia","54","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,28,26.3,29.8,"28.00","26.3","29.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"WI","Wisconsin","55","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,24.2,23,25.4,"24.2","23.00","25.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"WY","Wyoming","56","MEN","BRFSS","https://www.cdc.gov/brfss","Depression among adults","MEN02","OVERALL","Overall","Overall","OVR",2022,2022,22.9,21.2,24.8,"22.9","21.2","24.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
