LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77,"null","null","77.00","","","Years","Number","NMBR","","","3"
"AL","Alabama","01","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,73.2,73.1,73.3,"73.2","73.1","73.3","Years","Number","NMBR","","","3"
"AK","Alaska","02","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.6,76.3,76.9,"76.6","76.3","76.9","Years","Number","NMBR","","","3"
"AZ","Arizona","04","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.3,76.2,76.4,"76.3","76.2","76.4","Years","Number","NMBR","","","3"
"AR","Arkansas","05","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,73.8,73.6,74,"73.8","73.6","74.00","Years","Number","NMBR","","","3"
"CA","California","06","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,79,79,79,"79.00","79.00","79.00","Years","Number","NMBR","","","3"
"CO","Colorado","08","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,78.3,78.2,78.4,"78.3","78.2","78.4","Years","Number","NMBR","","","3"
"CT","Connecticut","09","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,78.4,78.3,78.5,"78.4","78.3","78.5","Years","Number","NMBR","","","3"
"DE","Delaware","10","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.7,76.4,77,"76.7","76.4","77.00","Years","Number","NMBR","","","3"
"DC","District of Columbia","11","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,75.3,74.9,75.7,"75.3","74.9","75.7","Years","Number","NMBR","","","3"
"FL","Florida","12","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77.5,77.4,77.6,"77.5","77.4","77.6","Years","Number","NMBR","","","3"
"GA","Georgia","13","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,75.6,75.5,75.7,"75.6","75.5","75.7","Years","Number","NMBR","","","3"
"HI","Hawaii","15","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,80.7,80.5,80.9,"80.7","80.5","80.9","Years","Number","NMBR","","","3"
"ID","Idaho","16","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,78.4,78.2,78.6,"78.4","78.2","78.6","Years","Number","NMBR","","","3"
"IL","Illinois","17","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.8,76.7,76.9,"76.8","76.7","76.9","Years","Number","NMBR","","","3"
