LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,51.1,50.7,51.4,"51.1","50.7","51.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AL","Alabama","01","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,45.9,44.2,47.7,"45.9","44.2","47.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AK","Alaska","02","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,57.4,54.3,60.4,"57.4","54.3","60.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AZ","Arizona","04","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,54,51.9,56,"54.00","51.9","56.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AR","Arkansas","05","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,46.8,44.6,49.1,"46.8","44.6","49.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CA","California","06","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,54.8,53.5,56,"54.8","53.5","56.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CO","Colorado","08","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,59.2,57.8,60.5,"59.2","57.8","60.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CT","Connecticut","09","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,53.7,52,55.4,"53.7","52.00","55.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DE","Delaware","10","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,51.7,49.1,54.3,"51.7","49.1","54.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DC","District of Columbia","11","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,56.5,53.9,59.2,"56.5","53.9","59.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"FL","Florida","12","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,54.3,52.4,56.2,"54.3","52.4","56.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"GA","Georgia","13","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,49.1,47,51.1,"49.1","47.00","51.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"GU","Guam","66","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,46,42.7,49.3,"46.00","42.7","49.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"HI","Hawaii","15","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,55.4,53.7,57,"55.4","53.7","57.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ID","Idaho","16","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,57.2,54.9,59.5,"57.2","54.9","59.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IL","Illinois","17","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,50,48.3,51.7,"50.00","48.3","51.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IN","Indiana","18","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,46.6,45.1,48.1,"46.6","45.1","48.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"IA","Iowa","19","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,48.5,47.3,49.8,"48.5","47.3","49.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"KS","Kansas","20","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,48.9,47.7,50.2,"48.9","47.7","50.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"KY","Kentucky","21","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,36.9,34.6,39.2,"36.9","34.6","39.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"LA","Louisiana","22","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,45.9,43.9,47.9,"45.9","43.9","47.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ME","Maine","23","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,51.7,49.8,53.6,"51.7","49.8","53.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MD","Maryland","24","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,51.7,50.4,53.1,"51.7","50.4","53.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MA","Massachusetts","25","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,53.4,51.8,55,"53.4","51.8","55.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MI","Michigan","26","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,51.8,50.3,53.2,"51.8","50.3","53.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MN","Minnesota","27","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,58,56.9,59,"58.00","56.9","59.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MS","Mississippi","28","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,39.8,37.8,41.9,"39.8","37.8","41.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MO","Missouri","29","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,45.1,43.3,46.9,"45.1","43.3","46.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"MT","Montana","30","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,63.2,61.6,64.8,"63.2","61.6","64.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NE","Nebraska","31","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,48.3,47,49.5,"48.3","47.00","49.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NV","Nevada","32","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,50.3,47.6,53.1,"50.3","47.6","53.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"NH","New Hampshire","33","NPAW","BRFSS","https://www.cdc.gov/brfss","Met aerobic physical activity guideline for substantial health benefits, adults","NPW09","OVERALL","Overall","Overall","OVR",2019,2019,56.7,54.4,58.9,"56.7","54.4","58.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
