LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,13.2,13,13.5,"13.2","13.00","13.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AL","Alabama","01","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,16.2,14.6,18,"16.2","14.6","18.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AK","Alaska","02","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,16.2,14.9,17.6,"16.2","14.9","17.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AZ","Arizona","04","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,13.1,11.9,14.4,"13.1","11.9","14.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AR","Arkansas","05","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,19.9,18.4,21.6,"19.9","18.4","21.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CA","California","06","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,9.9,9,10.9,"9.9","9.00","10.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CO","Colorado","08","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,10.9,10.1,11.8,"10.9","10.1","11.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CT","Connecticut","09","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,10.3,9.3,11.4,"10.3","9.3","11.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DE","Delaware","10","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,13.8,12.1,15.5,"13.8","12.1","15.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DC","District of Columbia","11","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,11,9.5,12.8,"11.00","9.5","12.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"FL","Florida","12","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,12,10.8,13.4,"12.00","10.8","13.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"GA","Georgia","13","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,12.8,11.7,14,"12.8","11.7","14.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"GU","Guam","66","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,20.6,16.9,24.9,"20.6","16.9","24.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"HI","Hawaii","15","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,10.5,9.5,11.6,"10.5","9.5","11.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"ID","Idaho","16","TOB","BRFSS","https://www.cdc.gov/brfss","Current cigarette smoking among adults","TOB04","OVERALL","Overall","Overall","OVR",2022,2022,12.4,11.4,13.5,"12.4","11.4","13.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
