city,name,latitude,longitude,address,area_m2,area_missing
London,K+K Hotel George Kensington,51.492352,-0.195519,"1-15 Templeton Place, London",,True
London,Flanders Fields Memorial Garden,51.5005394,-0.1357828,"Westminster, London",,True
London,WWT London Wetland Centre,51.476141,-0.234665,"Queen Elizabeth Walk, London",,True
London,The Phene,51.48517400000001,-0.167575,"9 Phene Street, London",,True
London,Polish Air Force Memorial,51.5488434,-0.4003079999999999,"Western Avenue, Ruislip",,True
London,Tower Hamlets Cemetery Park,51.5231445,-0.0272155,"Southern Grove, London",,True
London,Lost Society,51.4740879,-0.1570307,"339 Battersea Park Road, London",,True
London,Kenwood House,51.57138819999999,-0.1674543,"Hampstead Lane, London",,True
London,Chelsea Physic Garden,51.48491720000001,-0.1627774,"66 Royal Hospital Road, London",,True
London,The National Archives,51.4811031,-0.2793934,"Bessant Drive, Richmond",,True
London,Dulwich Picture Gallery,51.44606219999999,-0.08632889999999999,London,,True
London,St Saviour's Edible Garden,51.4450105,-0.043012,"Brockley Rise, London",,True
London,Battersea Park Children's Zoo,51.4813528,-0.1565835,"Battersea Park, London",,True
London,Vauxhall City Farm,51.4871332,-0.1191085,"165 Tyers Street, London",,True
London,Granville Square garden,51.5276846,-0.1135453,"Granville Square, London",,True
London,Stockwell Skate Park,51.4660545,-0.1163401,"Stockwell Skate Park, Stockwell Road, London",,True
London,Old Royal Naval College,51.4827142,-0.006696400000000001,London,,True
London,Beckenham War Memorial,51.406914,-0.0320175,"Croydon Road, Beckenham",,True
London,Hanning Recruitment,51.5092118,-0.1438322,"12 Hay Hill, London",,True
London,"Lee Valley Camping and Caravan Park, Edmonton",51.6322395,-0.03501669999999999,"Meridian Way, London",,True
London,National Trust - Osterley Park and House,51.48952260000001,-0.351652,"Jersey Road, Isleworth",,True
London,Chiswick House and Gardens Trust,51.4838077,-0.2586959999999999,"Chiswick House, London",,True
London,Argyle Square Public Basketball Court,51.5292915,-0.1225276,"9 Argyle Square, London",,True
London,Hackney Marshes Centre,51.5532444,-0.025582,"Homerton Road, London",,True
London,National Trust - Fenton House and Garden,51.5589422,-0.1798884,"Fenton House, Hampstead Grove, London",,True
London,Bishops Park,51.47166929999999,-0.2170803,"Bishop's Avenue, London",,True
London,Mudchute Park and Farm,51.4920932,-0.0104424,"Pier Street, London",,True
London,West Lodge Park Hotel,51.6692222,-0.1577998,"Cockfosters Road, Hadley Wood, Barnet",,True
London,Wanstead Flats,51.558904,0.036322,"Capel Road, London",,True
Amsterdam,Camping Zeeburg Amsterdam,52.3653339,4.959441099999999,"Zuider IJdijk 20, Amsterdam",,True
Amsterdam,ARTIS,52.3660003,4.9165321,"Plantage Kerklaan 38-40, Amsterdam",,True
Amsterdam,Hortus Botanicus,52.36691889999999,4.907623099999999,"Plantage Middenlaan 2a, Amsterdam",,True
Amsterdam,Restaurant Pompstation,52.3659288,4.933456000000001,"Zeeburgerdijk 52, Amsterdam",,True
Amsterdam,Camping Amsterdam Gaasper,52.3126243,4.991558700000001,"Loosdrechtdreef 7, Amsterdam",,True
Amsterdam,Groengebied Amstelland,52.2972006,4.888821900000001,"Bankrasweg 1b, Amstelveen",,True
Amsterdam,"Co-Operatie Zuid: ""Wij krijgen Kippen!""",52.341043,4.8492867,"IJsbaanpad 64-A, Amsterdam",,True
Amsterdam,Reisboekhandel Pied à Terre,52.3721463,4.893437599999999,"Rokin 9, Amsterdam",,True
Amsterdam,Camping de Badhoeve,52.384618,5.012904699999999,"Uitdammerdijk 10, Amsterdam",,True
Amsterdam,Stichting Black Jaguar Foundation,52.3368263,4.929385300000001,"H.J.E. Wenckebachweg 123, Amsterdam",,True
Amsterdam,Willem van den Ham vormgever,52.4019339,4.946019,"Elpermeer 219, Amsterdam",,True
Amsterdam,Volkstuinpark Buitenzorg,52.38860589999999,4.9267753,"Zamenhofstraat 41, Amsterdam",,True
Amsterdam,Routewerk,52.3824613,4.869218500000001,"Waterloop 526, Amsterdam",,True
Amsterdam,tuinpark Nieuwe Levenskracht,52.3489582,4.9555582,Amsterdam,,True
Amsterdam,Nieuw Vredelust Garden Park,52.318304,4.929140299999999,"4, Buitensingel, Duivendrecht",,True
Amsterdam,Our Lustoord,52.3190675,4.922084100000001,"Verbindingsweg 1, Duivendrecht",,True
Amsterdam,"Shoedoctor020 Meester schoenmaker Hillie,s Sneaker Cleaning Service",52.363914,4.935026,"Javastraat 85, Amsterdam",,True
Amsterdam,Tuinpark Zonnehoek,52.393781,4.8713363,"Archangelweg 3, Amsterdam",,True
Amsterdam,Wildlife Friends International (WFI),52.3911791,4.890992499999999,"Silodam 248, Amsterdam",,True
Amsterdam,Volkstuinpark De Bretten,52.3871423,4.81383,"Seineweg 16, Amsterdam",,True
Amsterdam,Nationaal Dachau Monument,52.32696550000001,4.847855900000001,"Bosbaanweg 1750, Amstelveen",,True
Amsterdam,Middelpolder,52.3109451,4.893593800000001,"Bankrasweg 6, Amstelveen",,True
Amsterdam,De Braak,52.3135914,4.850610899999999,"Amsterdamseweg 204, Amstelveen",,True
