city,state,country,greenspacearea_km2,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_exercising_rate,adjusted_chronic_rate,adjusted_life_expectancy,adjusted_copd_rate,adjusted_depression_rate,population_city,population_state
New York,New York,United States,9.58,29.080926846855096,11.110653114246963,48.98348807759314,15.168456860319766,75.06936930234689,4.444261245698785,17.487201858075657,18908608.0,19571216
Chicago,Illinois,United States,0.29,22.616110295641587,8.667251849826718,33.85645253838561,10.563213191976311,52.003511098960296,3.5210710639921037,12.188322913818821,8497759.0,12549689
Miami,Florida,United States,35.57,8.49740879616161,3.226864099808206,14.601560051632132,4.436938137236283,20.840163977928,1.66721311823424,4.920967752207515,6080145.0,22610726
Houston,Texas,United States,52.57,6.948084356509481,2.3486482331863034,9.668601893283615,3.2489633892410534,14.972632486562684,1.0960358421536083,3.796981310317857,5970127.0,30503301
Dallas,Texas,United States,79.91,6.7860880368324725,2.293888913858864,9.443176028718991,3.1732129975047623,14.623541825850259,1.0704814931341364,3.70845374407183,5830932.0,30503301
Philadelphia,Pennsylvania,United States,53.54,14.645474835328097,6.840401420093363,22.27515334235531,8.112014504597898,33.67582237584425,2.8940159854241148,9.778266132569359,5683533.0,12961683
Atlanta,Georgia,United States,147.34,17.378064936010475,6.011871112998218,23.0611618475166,8.172387294231951,35.50761376114572,3.099871042639706,9.111742155637923,5180179.0,11029227
Washington,Washington,United States,73.15,3.2247460215019297,1.459761573519392,7.497866263985968,1.8180666870196063,9.992731498728201,0.5440929501299552,2.56121803353857,678972.0,5116378
Phoenix,Arizona,United States,10.15,18.157405982013483,7.16451862543303,29.533130211708674,9.18808495475381,41.729219169506884,3.2267679305385406,11.266342265948126,4064275.0,7431344
Seattle,Washington,United States,1.06,14.450021618148492,4.60395010546687,26.757611009000524,7.2022189768689655,36.10226221316595,2.1880158917070274,11.669418089104147,3561397.0,7812880
San Francisco,California,United States,12.44,2.4266762877319765,0.8549500088450737,4.732450554011114,1.2521995079044008,6.8223283534101835,0.3799777817089216,1.5717262788869029,3364979.0,38965193
San Diego,California,United States,16.74,2.197046374183236,0.7740483667051258,4.284631363175847,1.1337072037600326,6.176749592899488,0.34402149631338924,1.42299800747811,3046560.0,38965193
Tampa,Florida,United States,94.76,3.998680396197805,1.5184862264042298,6.871150174479139,2.0879185613058158,9.806890212193984,0.7845512169755187,2.3156914952664502,2861173.0,22610726
Brooklyn,New York,United States,11.03,4.208007688433871,1.6077105786375256,7.087906637993266,2.194874442139926,10.862531474794412,0.6430842314550101,2.530396649855584,2736074.0,19571216
Denver,Colorado,United States,10.01,11.430913245349727,4.983878174972481,27.06840256498815,6.767100641247038,35.801620284435344,2.2404589960885466,9.967756349944962,2687458.0,5877610
Queens,New York,United States,24.92,3.699538465060117,1.4134449285113404,6.2314485109152145,1.9296595980546125,9.549971386550535,0.5653779714045362,2.224639409222197,2405464.0,19571216
Riverside,California,United States,18.42,1.6823397127790438,0.5927104326161043,3.2808617886224765,0.8681112396902538,4.729709512795176,0.26342685894049084,1.0896292801629393,2332836.0,38965193
Las Vegas,Nevada,United States,8.63,23.577152448706645,10.48655437270833,35.400918452834155,11.401488646837242,53.69960393541245,4.574671370644573,12.879459397353182,2248047.0,3194176
Baltimore,Maryland,United States,105.37,11.799613510967918,3.4830184460086024,18.37469935292293,5.579937714523985,27.295491495251085,1.5993452047998684,6.64616785105723,2196524.0,6180253
St. Louis,Missouri,United States,79.94,12.518094831698878,6.121485934182419,15.510057057956578,6.052705193348909,25.827168182983126,2.6480585220901474,7.703442973353155,2130881.0,6196156
Portland,Oregon,United States,1.07,15.297659021514361,6.33689435195417,28.119968686796625,8.6142157596877,39.01150585421785,2.871405253229233,12.277732806911203,2095808.0,4233358
San Antonio,Texas,United States,36.06,2.3956345577155735,0.8097919631714614,3.333643581722516,1.1202122157205217,5.162423765218066,0.377902916146682,1.3091636737938626,2058444.0,30503301
Sacramento,California,United States,38.18,1.4118353731752336,0.49740819197276914,2.7533301939502772,0.7285271498591063,3.969216885439269,0.22107030754345294,0.9144271812024644,1957738.0,38965193
Austin,Texas,United States,72.78,2.218154930182802,0.7497988496392571,3.0866719310149415,1.0372217420009724,4.779967666450264,0.3499061298316533,1.2121748069167988,1905945.0,30503301
San Jose,California,United States,34.39,1.2774658988600416,0.4500680568937513,2.4912858098765223,0.6591905883797368,3.591452171172359,0.20003024750833392,0.8273978419662902,1771413.0,38965193
Pittsburgh,Pennsylvania,United States,0.63,4.507102927914531,2.105113942379242,6.855114632875992,2.4964492265394855,10.36363787017473,0.8906251294681408,3.0092333919908394,1749091.0,12961683
Indianapolis,Indiana,United States,5.96,9.503558159709447,4.260215726766303,11.747103719959156,4.764383268395451,18.906282811093064,2.0418785435980507,5.873551859979578,1729849.0,6862199
Manhattan,New York,United States,12.22,2.6057305943585725,0.9955449114658997,4.389054522723575,1.3591352269577934,6.726420836600036,0.3982179645863599,1.5669011215245903,1694263.0,19571216
Cincinnati,Ohio,United States,159.12,5.471941445460203,2.542083033717732,7.008680906521204,2.9154963607045175,10.814624431578826,1.2207743382260294,3.734133269867855,1692702.0,11785935
Kansas City,Missouri,United States,101.49,9.925482573389049,4.8536700496243155,12.297781979666103,4.799134431089211,20.478124759931802,2.0996213136015296,6.107989275931723,1689556.0,6196156
Cleveland,Ohio,United States,0.51,5.431678581292024,2.5233782385529873,6.957110623807106,2.8940439685099233,10.73504979452203,1.2117918094745983,3.70665729956936,1680247.0,11785935
Columbus,Ohio,United States,79.09,5.083517141406261,2.3616339475824364,6.511171561696209,2.708540629148218,10.04695120073206,1.1341179974265938,3.469066815657816,1572546.0,11785935
Bronx,New York,United States,31.88,2.2649019560154056,0.8653279898397729,3.814967746510999,1.18136082091169,5.846607374830466,0.34613119593590913,1.3619510100956427,1472654.0,19571216
Virginia Beach,Virginia,United States,164.83,5.8279100537902995,2.036457206296042,8.245168201101048,2.996737840159217,12.84789261858316,1.0761765724328678,3.692113471577377,1443020.0,8715698
Charlotte,North Carolina,United States,190.72,4.492259778537032,1.962893568920873,6.639586300242416,2.344933256831647,10.025248362072377,0.8826434168973053,2.950927244552185,1427444.0,10835491
Milwaukee,Wisconsin,United States,0.92,8.233599815934989,3.2759680965258577,12.011883020594812,3.7127638427293053,16.969514740003945,1.2667076639899983,5.285228529061717,1290940.0,5910955
Providence,Rhode Island,United States,80.95,26.16165875230862,10.447675410824548,42.38528479675975,14.18505523258292,66.42343228670566,5.181367480165019,19.451363163242448,1095962.0,1290271
Jacksonville,Florida,United States,128.83,1.8004825143606624,0.6837275370989857,3.0938671053729103,0.9401253635111053,4.415740343764282,0.35325922750114264,1.0426844940759532,1288298.0,22610726
Nashville,Tennessee,United States,123.24,6.428250615415248,3.1728126430841326,7.882456410162143,3.767715013662408,12.195498596854636,1.7516569800360315,4.990569886517751,1177657.0,7126489
Salt Lake City,Utah,United States,7.68,10.68182512155715,2.3699226153937083,19.19980785514613,5.28939250392219,26.99650979274572,1.5112550011206256,8.964489893010985,1173879.0,3417734
Raleigh,North Carolina,United States,210.73,3.660515541012401,1.5994628023778525,5.410263438915689,1.9107676431091125,8.169068406775475,0.7192215285860143,2.404561528406973,1163152.0,10835491
Richmond,Virginia,United States,199.4,4.334414707806535,1.5145824121028517,6.132211717294473,2.228775744639156,9.55541424220986,0.8003890795665477,2.7459502268206175,1073223.0,8715698
Memphis,Tennessee,United States,110.91,5.665920792132002,2.7965470233659238,6.947671511174717,3.3208995902470346,10.74922762106277,1.5439270024832705,4.398735422169318,1037998.0,7126489
Oklahoma City,Oklahoma,United States,81.42,9.855445130326329,3.9421780521305316,9.485865937939092,4.903083952337348,18.257212103929522,1.8478959619361868,6.750979914273535,998806.0,4053824
Hartford,Connecticut,United States,13.99,8.245473927727046,2.775437302470215,14.469998363364128,4.311358916458586,21.12565869064707,1.3472996613933081,5.389198645573233,974684.0,3617176
Louisville,Kentucky,United States,193.11,8.027944343033845,3.7477936455542613,7.85759008641774,4.7699191852508775,15.651297326604443,2.214605336009336,5.6216904683313915,963812.0,4526154
New Orleans,Louisiana,United States,72.11,8.177894305087577,3.487331486708169,9.360731885374557,4.241900287925726,14.907832261892814,1.7334688676619552,5.50631287374974,932759.0,4573749
Fort Worth,Texas,United States,40.23,1.0761306292718942,0.363762466232753,1.497488819324833,0.5032047449553083,2.3189857222338004,0.1697558175752847,0.5880826537429507,924663.0,30503301
Bridgeport,Connecticut,United States,145.92,7.683474788066714,2.586267657421149,13.483744971215115,4.017503157159066,19.685765470079424,1.255469736612208,5.021878946448832,908251.0,3617176
Tucson,Arizona,United States,3.15,3.9239502302679035,1.5483056631478775,6.382328687785144,1.985613369533156,9.017994053296416,0.697328504776525,2.4347402031180367,878320.0,7431344
El Paso,Texas,United States,1.55,1.0070085529431716,0.3403972573329031,1.4013020426871177,0.4708828726438493,2.1700325154972573,0.15885205342202144,0.5503088993548599,865270.0,30503301
Omaha,Nebraska,United States,60.31,14.655168953976967,5.646184072920304,20.052256670739023,6.061344666517386,32.25797812249321,2.075802967985406,7.265310387948921,821345.0,1978379
McAllen,Texas,United States,19.74,0.9279522075332108,0.313673985645029,1.2912912409053694,0.4339156801422902,1.9996716584870602,0.14638119330101354,0.5071062767927969,797341.0,30503301
Birmingham,Alabama,United States,196.35,5.863764106969056,2.4802344264464415,7.027330874931584,3.444770036731169,11.206985186165403,1.270737391327498,3.7662819068260784,782111.0,5108468
Albuquerque,New Mexico,United States,10.48,11.799039241457624,5.644602106252877,19.701482190211653,6.008769984075642,27.13050689779608,1.7480058135492778,7.756775797624921,769986.0,2114371
Tulsa,Oklahoma,United States,86.69,7.220273993148197,2.888109597259279,6.94951371840514,3.592086311591228,13.375557572307034,1.353801373715287,4.945887685306515,731743.0,4053824
